calles,engine,tipo_calle,caracteristica_calle,tipo_siniestro,entidad_instructora,tipo_participante,marca_participante,modelo_participante,sexo,rol,causa,lugar_via,tiempo
GUALEGUAY,,,,,,,,skua 150,,,,,
GUALEGUAYCHU,,,,,,,,sleek,,,,,
GUAMINI,,,,,,,,slk 250,,,,,
GUANAHANI,,,,,,,,smash,,,,,
GUARANI,,,,,,,,smash 110,,,,,
GUARDIA NACIONAL,,,,,,,,smash 80,,,,,
GUARDIA VIEJA,,,,,,,,s-max,,,,,
GUATEMALA,,,,,,,,smx 200,,,,,
GUAYAQUIL,,,,,,,,smx 400,,,,,
GUAYMALLEN,,,,,,,,sol,,,,,
GUAYQUIRARO,,,,,,,,sonic,,,,,
GUAYRA,,,,,,,,sorento,,,,,
GUEMES,,,,,,,,space,,,,,
"VIGIL, CONSTANCIO C.",,,,,,,,spark,,,,,
GUEVARA,,,,,,,,spazio,,,,,
GUIDO,,,,,,,,speed,,,,,
"GUIDO Y SPANO, CARLOS",,,,,,,,spin,,,,,
GUIPUZCOA,,,,,,,,spirit,,,,,
"GUIRALDES, INT.",,,,,,,,sport 125,,,,,
"GUIRALDES, RICARDO",,,,,,,,sport 135,,,,,
GUISE,,,,,,,,sportage,,,,,
GURRUCHAGA,,,,,,,,sprinter,,,,,
GUTENBERG,,,,,,,,squash,,,,,
"GUTIERREZ, EDUARDO",,,,,,,,sr,,,,,
"GUTIERREZ, JUAN MARIA",,,,,,,,sr 125,,,,,
"GUTIERREZ, RICARDO",,,,,,,,sr 150,,,,,
"GUTTERO, ALFREDO",,,,,,,,sr 200,,,,,
GUZMAN,,,,,,,,sr uh,,,,,
GUZMAN AV.,,,,,,,,stepway,,,,,
"GUEMES, MACACHA",,,,,,,,storm,,,,,
"GALVEZ, MANUEL",,,,,,,,storm 110,,,,,
GOLETA JULIA,,,,,,,,storm 150,,,,,
GOLETA MALDONADO,,,,,,,,strada,,,,,
GOLETA MANUELITA,,,,,,,,stratus,,,,,
GOLETA SANTA CRUZ,,,,,,,,stronger,,,,,
GOLETA SARANDI,,,,,,,,style,,,,,
GOLETA JULIET,,,,,,,,style 125,,,,,
"GRAMAJO GUTIERREZ, ALFREDO",,,,,,,,style 150,,,,,
"GUSTAVINO, ENRIQUE",,,,,,,,stylo,,,,,
GOLETA INVENCIBLE,,,,,,,,super,,,,,
GOLETA FORTUNA,,,,,,,,super 125,,,,,
"GARCIA, PEDRO A.,CNEL.",,,,,,,,supercity,,,,,
"GUERRICO, MARTIN, CTTE.",,,,,,,,super europa,,,,,
GENDARMERIA NACIONAL AV.,,,,,,,,supernova,,,,,
"GOLA, JOSE",,,,,,,,supernova 150,,,,,
"GIRALT, HERNAN M., INT., A AV.",,,,,,,,suran,,,,,
"GRIERSON, CECILIA",,,,,,,,sw4,,,,,
"GUEVARA, TRINIDAD",,,,,,,,swatch,,,,,
HABANA,,,,,,,,swift,,,,,
HAITI,,,,,,,,swing,,,,,
"HALL, BASILIO",,,,,,,,swing zb,,,,,
HAMBURGO,,,,,,,,sx1500,,,,,
HAWAI,,,,,,,,symbol,,,,,
HELGUERA,,,,,,,,t 100,,,,,
HEREDIA,,,,,,,,t 105,,,,,
"HERMITTE, ENRIQUE, ING.",,,,,,,,t 105 crypton,,,,,
HERNANDARIAS,,,,,,,,t 110,,,,,
"HERNANDEZ, JOSE",,,,,,,,t 124,,,,,
"HERNANDEZ, RAFAEL",,,,,,,,t 150,,,,,
HERRERA,,,,,,,,t 850,,,,,
"HICKEN, CRISTOBAL M.",,,,,,,,taunus,,,,,
HIDALGO,,,,,,,,tcp 150,,,,,
"HIDALGO, BARTOLOME",,,,,,,,td,,,,,
HINOJO,,,,,,,,td 150,,,,,
HOLMBERG,,,,,,,,td200,,,,,
HOMERO,,,,,,,,td 900,,,,,
HONDURAS,,,,,,,,td 901,,,,,
HONDURAS AV.,,,,,,,,tdm,,,,,
"HORNOS, GRAL.",,,,,,,,tdm 900,,,,,
HORTIGUERA,,,,,,,,tech bike,,,,,
HUALFIN,,,,,,,,tempra,,,,,
HUAURA,,,,,,,,terra,,,,,
CONTINUACION HUBAC (NO OFICIAL),,,,,,,,terrain,,,,,
HUBAC,,,,,,,,texana,,,,,
HUDSON,,,,,,,,tico,,,,,
"HUDSON, GUILLERMO",,,,,,,,tiggo,,,,,
"DAVEL, DESIDERIO FERNANDO, DR.",,,,,,,,tigra,,,,,
HUERGO,,,,,,,,tiguan,,,,,
"HUERGO, ING. AV.",,,,,,,,tiida,,,,,
"HUGO, VICTOR",,,,,,,,tinta,,,,,
"PUENTE HUGO, VICTOR (NO OFICIAL)",,,,,,,,tipo,,,,,
HUMAHUACA,,,,,,,,titan esd,,,,,
HUMAITA,,,,,,,,tlx,,,,,
HUMBERTO 1°,,,,,,,,tm 900,,,,,
HUMBOLDT,,,,,,,,todo terreno,,,,,
HUNGRIA,,,,,,,,toledo,,,,,
HUSARES,,,,,,,,top,,,,,
"ARMAUER HANSEN, GERARDO, DR.",,,,,,,,top 110,,,,,
HIROSHIMA,,,,,,,,top 1215,,,,,
"HAEDO, EDUARDO V., PRES.",,,,,,,,tornado,,,,,
IBAÑEZ,,,,,,,,tornado 250,,,,,
IBARROLA,,,,,,,,tornado xr 200,,,,,
"IBARROLA, RODRIGO DE",,,,,,,,towner,,,,,
IBERA,,,,,,,,tr,,,,,
ICALMA,,,,,,,,tr 2,,,,,
IGUALDAD,,,,,,,,tr 200,,,,,
IGUAZU,,,,,,,,track 110,,,,,
INCA,,,,,,,,tracker,,,,,
INCLAN,,,,,,,,traffic,,,,,
INDEPENDENCIA AV.,,,,,,,,transalp,,,,,
INDIO,,,,,,,,transit,,,,,
"INGENIEROS, JOSE",,,,,,,,transporter,,,,,
PASAJE 2 DE ABRIL,,,,,,,,triac,,,,,
"CARRERAS, SEGUNDO IÑIGO",,,,,,,,triangle,,,,,
IRALA,,,,,,,,triax,,,,,
IRAOLA AV.,,,,,,,,triax 150,,,,,
"CABRED, DOMINGO, DR.",,,,,,,,triax 200,,,,,
"IRIARTE, GRAL.",,,,,,,,triax 250,,,,,
"IRIARTE, GRAL. AV.",,,,,,,,tribeca,,,,,
IRIGOYEN,,,,,,,,tricargo,,,,,
"IRIGOYEN, BERNARDO DE",,,,,,,,trimax,,,,,
"IRIGOYEN, SANTOS",,,,,,,,trip,,,,,
IRLANDA,,,,,,,,trip fun,,,,,
"ISABEL, INFANTA AV.",,,,,,,,trip g110,,,,,
ISABEL LA CATOLICA,,,,,,,,triton,,,,,
ISLANDIA,,,,,,,,triumph bonneville,,,,,
ITALIA,,,,,,,,trooper,,,,,
"ARBELETCHE, ANIBAL P.",,,,,,,,trophy,,,,,
ITAQUI,,,,,,,,tucson,,,,,
ITURRI,,,,,,,,tundra,,,,,
ITUZAINGO,,,,,,,,turbo,,,,,
JACARANDA,,,,,,,,turbo daily,,,,,
"JACQUES, AMADEO",,,,,,,,twingo,,,,,
JACHAL,,,,,,,,twister,,,,,
"JANTIN, JUAN BAUTISTA",,,,,,,,twister 250,,,,,
JARAMILLO,,,,,,,,tx200,,,,,
"JAURES, JEAN",,,,,,,,txm 200,,,,,
"JENNER, EDUARDO, DR.",,,,,,,,typhoon,,,,,
JORGE,,,,,,,,uno,,,,,
"ROUSSEAU, JUAN J.",,,,,,,,up,,,,,
"JUAREZ, BENITO",,,,,,,,urban,,,,,
JUFRE,,,,,,,,vabis,,,,,
JUJUY AV.,,,,,,,,vairo,,,,,
JUNCAL,,,,,,,,van,,,,,
JUNIN,,,,,,,,varadero 1000,,,,,
PRIMERA JUNTA,,,,,,,,vc,,,,,
JURAMENTO,,,,,,,,vc 110,,,,,
JURAMENTO AV.,,,,,,,,vc 125,,,,,
"JUSTO, JUAN B. AV.",,,,,,,,vc 150,,,,,
"JEREZ, PEDRO DE",,,,,,,,vc 200,,,,,
KING,,,,,,,,vcr 250,,,,,
"KORN, ALEJANDRO, DR.",,,,,,,,vectra,,,,,
"KRAUSE, JULIO, ING.",,,,,,,,venox,,,,,
LAVARDEN,,,,,,,,venox 250,,,,,
LA BLANQUEADA,,,,,,,,vento,,,,,
LA CACHILA,,,,,,,,verona,,,,,
LA CALANDRIA,,,,,,,,versa,,,,,
LA CAPITAL,,,,,,,,versys,,,,,
LACARRA,,,,,,,,vespa,,,,,
LACARRA AV.,,,,,,,,vespino,,,,,
LA CAUTIVA,,,,,,,,virago,,,,,
LA COMUNA,,,,,,,,visa,,,,,
LA CONQUISTA,,,,,,,,visor,,,,,
LA CONSTANCIA,,,,,,,,vitara,,,,,
LA CORDILLERA,,,,,,,,v men,,,,,
"LACROZE, FEDERICO",,,,,,,,v men 125,,,,,
"LACROZE, FEDERICO AV.",,,,,,,,voltage,,,,,
LA DILIGENCIA,,,,,,,,voyage,,,,,
LADINES,,,,,,,,vs 110,,,,,
LA ESPIGA,,,,,,,,vtec,,,,,
LA FACULTAD,,,,,,,,vulcan,,,,,
LAFAYETTE,,,,,,,,vx 150,,,,,
"LAFERRERE, GREGORIO DE",,,,,,,,vx 750,,,,,
LAFINUR,,,,,,,,wave,,,,,
"LAFOND, GABRIEL",,,,,,,,wave 110,,,,,
LA FONTAINE,,,,,,,,wave 125,,,,,
LA FRONDA,,,,,,,,wave 50,,,,,
LAFUENTE,,,,,,,,wave euromot,,,,,
LAFUENTE AV.,,,,,,,,wey110,,,,,
GAZETA DE BUENOS AYRES,,,,,,,,winstar,,,,,
LA GALERA,,,,,,,,winstar 150,,,,,
"PADRE MASSA, LORENZO BARTOLOME",,,,,,,,wrangler,,,,,
LA GLORIA,,,,,,,,wuling,,,,,
LAGOS,,,,,,,,x 100,,,,,
"LAGOS GARCIA, LUIS",,,,,,,,x125,,,,,
LAGRANGE,,,,,,,,x150,,,,,
"BENEDETTI, OSVALDO E., DIP.NAC.",,,,,,,,x3,,,,,
LAGUNA,,,,,,,,x5,,,,,
LA HAYA,,,,,,,,x6,,,,,
LA HUELLA,,,,,,,,x75,,,,,
LA HUERTA,,,,,,,,xantia,,,,,
LA MADRESELVA,,,,,,,,xc60,,,,,
LA MAR,,,,,,,,xciting,,,,,
"LAMARCA, EMILIO",,,,,,,,xjr 1300,,,,,
LA MAREA,,,,,,,,xl,,,,,
"LAMAS, ANDRES",,,,,,,,xl 125,,,,,
LAMBARE,,,,,,,,xl 150,,,,,
LA MESOPOTAMIA,,,,,,,,xl 200,,,,,
LA RABIDA (S) AV.,,,,,,,,xlr 125,,,,,
LA NAVE,,,,,,,,xmm,,,,,
LANCHEROS DEL PLATA,,,,,,,,xr,,,,,
LANIN,,,,,,,,xr 1,,,,,
LA NIÑA,,,,,,,,xr 125,,,,,
LANUS,,,,,,,,xr 135,,,,,
LANZA,,,,,,,,xr 150,,,,,
"MANZI, HOMERO",,,,,,,,xr 200,,,,,
LAPACHO,,,,,,,,xr 250,,,,,
LA RABIDA (N) AV.,,,,,,,,xr 300,,,,,
LA PINTA,,,,,,,,xr 35,,,,,
LAPLACE,,,,,,,,xr 50,,,,,
LA PLATA AV.,,,,,,,,xr 5000,,,,,
LA PORTEÑA,,,,,,,,xr 600,,,,,
LAPRIDA,,,,,,,,xr 650,,,,,
LA QUENA,,,,,,,,xre,,,,,
"NINO, CARLOS SANTIAGO",,,,,,,,xre 150,,,,,
"DE LA ROSA, JOSE I., DR.",,,,,,,,xre 300,,,,,
"LARRAÑAGA, DAMASO",,,,,,,,xr enduro,,,,,
LARRAYA,,,,,,,,xr tornado 250,,,,,
LARRAZABAL,,,,,,,,xsara,,,,,
LARRAZABAL AV.,,,,,,,,xt 110,,,,,
LARREA,,,,,,,,xt 200,,,,,
LARSEN,,,,,,,,xt 215,,,,,
LAS ACACIAS,,,,,,,,xt225,,,,,
LA SANTA MARIA,,,,,,,,xt250,,,,,
LAS BASES,,,,,,,,xt 250,,,,,
LASCANO,,,,,,,,xt 600,,,,,
LAS CASAS,,,,,,,,xt 660,,,,,
LAS COLONIAS,,,,,,,,xt660r,,,,,
LA SELVA,,,,,,,,xt 670,,,,,
LAS FLORES,,,,,,,,x-terra,,,,,
"LAS HERAS, GENERAL",,,,,,,,x-trail,,,,,
LAS HERAS GENERAL AV.,,,,,,,,xtz,,,,,
LAS INDIAS,,,,,,,,xtz 125,,,,,
LAS PALMAS,,,,,,,,xtz 225,,,,,
LAS PROVINCIAS,,,,,,,,xtz 250,,,,,
"LASSERRE, AUGUSTO, ALTE.",,,,,,,,xtz 750,,,,,
LASTRA AV.,,,,,,,,xz,,,,,
LAS TUNAS,,,,,,,,xz 200,,,,,
LA TRILLA,,,,,,,,xzr 150,,,,,
LAURELES ARGENTINOS,,,,,,,,y 105,,,,,
LAUSANA,,,,,,,,y 125,,,,,
LAUTARO,,,,,,,,y 150,,,,,
"LAVAISSE, BENJAMIN J.",,,,,,,,y 400,,,,,
LAVALLE,,,,,,,,ybr,,,,,
LAVALLEJA,,,,,,,,ybr 125,,,,,
LAVOISIER,,,,,,,,ybr 150,,,,,
"LE BRETON, TOMAS A.",,,,,,,,ybr 250,,,,,
"LEGUIZAMON, HONORIO, DR.",,,,,,,,ybr 600,,,,,
"LEGUIZAMON, MARTINIANO",,,,,,,,yg 110,,,,,
"LEGUIZAMON, ONESIMO",,,,,,,,yl,,,,,
LEIPZIG,,,,,,,,yl 125,,,,,
LEIVA,,,,,,,,yl 150,,,,,
"LEMOS, JUAN GREGORIO, GRAL.",,,,,,,,yl 200,,,,,
"LEON, BERNARDO DE",,,,,,,,yrb 125,,,,,
LEONES,,,,,,,,ytz,,,,,
LEOPARDI,,,,,,,,yzf r6 600,,,,,
LERMA,,,,,,,,z 6,,,,,
"LEVALLE, NICOLAS, TTE.GRAL.",,,,,,,,z 600,,,,,
LEZICA,,,,,,,,z 750,,,,,
LIBERTAD,,,,,,,,zafira,,,,,
DEL LIBERTADOR AV.,,,,,,,,zb,,,,,
"LIBERTI, TOMAS",,,,,,,,zb110,,,,,
LIBRES,,,,,,,,zb 125,,,,,
LIBRES DEL SUR AV.,,,,,,,,zonda,,,,,
"LAREDO, PEDRO",,,,,,,,zr,,,,,
LIMA,,,,,,,,zr 150,,,,,
LINCOLN AV.,,,,,,,,zr 200,,,,,
LINIERS VIRREY,,,,,,,,zr 250,,,,,
LINNEO,,,,,,,,ztt,,,,,
LISBOA,,,,,,,,ztt 200,,,,,
"LISTA, RAMON, CORONEL",,,,,,,,ztt 200 enduro,,,,,
LITUANIA,,,,,,,,ztt 250,,,,,
LIVERPOOL,,,,,,,,zx,,,,,
LOBERIA,,,,,,,,,,,,,
LOBOS,,,,,,,,,,,,,
"LOBOS, ELEODORO, DR.",,,,,,,,,,,,,
LOGROÑO,,,,,,,,,,,,,
LOMAS DE ZAMORA,,,,,,,,,,,,,
LONDRES,,,,,,,,,,,,,
LOPE DE VEGA,,,,,,,,,,,,,
LOPE DE VEGA AV.,,,,,,,,,,,,,
"LOPEZ BUCHARDO, CARLOS",,,,,,,,,,,,,
"LOPEZ, CANDIDO",,,,,,,,,,,,,
"LOPEZ, CARLOS ANTONIO",,,,,,,,,,,,,
"LOPEZ, JUAN PABLO",,,,,,,,,,,,,
"LOPEZ MERINO, FRANCISCO",,,,,,,,,,,,,
"LOPEZ, VICENTE",,,,,,,,,,,,,
"PAGANO, JOSE LEON",,,,,,,,,,,,,
"LOPEZ, VICENTE FIDEL",,,,,,,,,,,,,
"LORA, FELIX",,,,,,,,,,,,,
"LORETO, VIRREY",,,,,,,,,,,,,
SANCHEZ DE LORIA,,,,,,,,,,,,,
SANCHEZ DE LORIA AV.,,,,,,,,,,,,,
BEADE,,,,,,,,,,,,,
LOS ANDES,,,,,,,,,,,,,
LOS PATOS,,,,,,,,,,,,,
LOS PIRINEOS,,,,,,,,,,,,,
LOS RECUERDOS,,,,,,,,,,,,,
LOS TELARES,,,,,,,,,,,,,
LOS TERRITORIOS,,,,,,,,,,,,,
LOYOLA,,,,,,,,,,,,,
"LOZANO, PEDRO",,,,,,,,,,,,,
"LUCA, ESTEBAN DE",,,,,,,,,,,,,
LUCERO,,,,,,,,,,,,,
LUCHTER (SUR),,,,,,,,,,,,,
LUGO,,,,,,,,,,,,,
LUGONES,,,,,,,,,,,,,
"LUGONES, LEOPOLDO AV.",,,,,,,,,,,,,
LUJAN,,,,,,,,,,,,,
PUENTE BOSCH,,,,,,,,,,,,,
LUNA,,,,,,,,,,,,,
"LUPPI, ABRAHAM J.",,,,,,,,,,,,,
LUXEMBURGO,,,,,,,,,,,,,
LUZURIAGA,,,,,,,,,,,,,
LYNCH,,,,,,,,,,,,,
"LYNCH ARRIBALZAGA, FELIX",,,,,,,,,,,,,
LLAVALLOL,,,,,,,,,,,,,
LLERENA,,,,,,,,,,,,,
LLORENTE,,,,,,,,,,,,,
SAN JUAN BAUTISTA DE LA SALLE AV.,,,,,,,,,,,,,
LILLO AV.,,,,,,,,,,,,,
"LEVENE, RICARDO, DR.",,,,,,,,,,,,,
LYNCH MARTA,,,,,,,,,,,,,
LA PAMPA,,,,,,,,,,,,,
LA RIOJA,,,,,,,,,,,,,
"LEVILLIER, ROBERTO, DR.",,,,,,,,,,,,,
"LAFONE, QUEVEDO SAMUEL",,,,,,,,,,,,,
LAVADERO,,,,,,,,,,,,,
LANTERI JULIETA,,,,,,,,,,,,,
"LORENZINI, CAROLA",,,,,,,,,,,,,
"MACIEL, FRANCISCO A.",,,,,,,,,,,,,
"MACHADO, ANTONIO",,,,,,,,,,,,,
MACHAIN,,,,,,,,,,,,,
MADARIAGA,,,,,,,,,,,,,
"MADERA, JUAN, DR.",,,,,,,,,,,,,
"MADERNA, FRANCISCO",,,,,,,,,,,,,
MADERO,,,,,,,,,,,,,
PUENTE MADERO (NO OFICIAL),,,,,,,,,,,,,
"GILARDI, GILARDO",,,,,,,,,,,,,
"MADERO, EDUARDO AV.",,,,,,,,,,,,,
MADRID,,,,,,,,,,,,,
MAGALLANES,,,,,,,,,,,,,
"MAGARIÑOS CERVANTES, A.",,,,,,,,,,,,,
MAGDALENA,,,,,,,,,,,,,
"MAGNAUD, JUEZ",,,,,,,,,,,,,
MAIPU,,,,,,,,,,,,,
MAIPU AV.,,,,,,,,,,,,,
MAITEN,,,,,,,,,,,,,
MALABIA,,,,,,,,,,,,,
REPUBLICA ARABE SIRIA,,,,,,,,,,,,,
MALAGA,,,,,,,,,,,,,
MALDONADO,,,,,,,,,,,,,
"MALHARRO, MARTIN A.",,,,,,,,,,,,,
MALVINAS ARGENTINAS,,,,,,,,,,,,,
MANAGUA,,,,,,,,,,,,,
MANCO CAPAC,,,,,,,,,,,,,
MANDISOBI,,,,,,,,,,,,,
"MANSILLA, LUCIO NORBERTO, GENERAL",,,,,,,,,,,,,
MANZANARES,,,,,,,,,,,,,
MANZONI,,,,,,,,,,,,,
MARACAIBO,,,,,,,,,,,,,
MAR DEL PLATA,,,,,,,,,,,,,
MAR DULCE,,,,,,,,,,,,,
MARCOARTU PASAJE (PJE. PARTICULAR),,,,,,,,,,,,,
"MARMOL, JOSE",,,,,,,,,,,,,
MARSELLA,,,,,,,,,,,,,
"MARTI, JOSE",,,,,,,,,,,,,
MARTIN FIERRO,,,,,,,,,,,,,
MARTIN PESCADOR,,,,,,,,,,,,,
MARTINEZ CASTRO,,,,,,,,,,,,,
"MARTINEZ, ENRIQUE, GRAL.",,,,,,,,,,,,,
MARTINEZ DE HOZ,,,,,,,,,,,,,
"MARTINEZ, JUAN ESTEBAN",,,,,,,,,,,,,
"MARTINEZ, MATEO J.",,,,,,,,,,,,,
"MARTINEZ, PLACIDO",,,,,,,,,,,,,
MARTINEZ ROSAS,,,,,,,,,,,,,
"MARTINEZ, VICTOR",,,,,,,,,,,,,
MASON,,,,,,,,,,,,,
MATACO,,,,,,,,,,,,,
MATANZA,,,,,,,,,,,,,
MATHEU,,,,,,,,,,,,,
"MATIENZO, BENJAMIN, TENIENTE",,,,,,,,,,,,,
MATORRAS,,,,,,,,,,,,,
"MATORRAS DE SAN MARTIN, GREGORIA",,,,,,,,,,,,,
"MATURANA, JOSE DE",,,,,,,,,,,,,
MATURIN,,,,,,,,,,,,,
MAURE,,,,,,,,,,,,,
MAZA,,,,,,,,,,,,,
MBURUCUYA,,,,,,,,,,,,,
"MEANA, BENITO, CNEL.",,,,,,,,,,,,,
MEDANOS,,,,,,,,,,,,,
MEDEYROS,,,,,,,,,,,,,
MEDINA,,,,,,,,,,,,,
MEDRANO,,,,,,,,,,,,,
MEDRANO AV.,,,,,,,,,,,,,
MELGAR,,,,,,,,,,,,,
MELIAN AV.,,,,,,,,,,,,,
MELINCUE,,,,,,,,,,,,,
"MELO, CARLOS F.",,,,,,,,,,,,,
"MELO, VIRREY",,,,,,,,,,,,,
MEMBRILLAR,,,,,,,,,,,,,
"MENDEZ, AGUSTIN",,,,,,,,,,,,,
"JAURETCHE, ARTURO",,,,,,,,,,,,,
MENDEZ DE ANDES,,,,,,,,,,,,,
"MENDEZ, NICANOR",,,,,,,,,,,,,
MENDOZA,,,,,,,,,,,,,
MENDOZA AV.,,,,,,,,,,,,,
DON PEDRO DE MENDOZA AV.,,,,,,,,,,,,,
MENENDEZ Y PELAYO,,,,,,,,,,,,,
MERCEDES,,,,,,,,,,,,,
METAN,,,,,,,,,,,,,
MEXICO,,,,,,,,,,,,,
MIGUEL ANGEL,,,,,,,,,,,,,
MIGUELETES,,,,,,,,,,,,,
MILAN,,,,,,,,,,,,,
MILTON,,,,,,,,,,,,,
MILLER,,,,,,,,,,,,,
MIÑONES,,,,,,,,,,,,,
MIRAFLORES,,,,,,,,,,,,,
MIRALLA,,,,,,,,,,,,,
MIRAMAR,,,,,,,,,,,,,
MIRANDA,,,,,,,,,,,,,
MIRAVE,,,,,,,,,,,,,
MIRIÑAY,,,,,,,,,,,,,
MIRO,,,,,,,,,,,,,
MISIONES,,,,,,,,,,,,,
"MISTRAL, GABRIELA",,,,,,,,,,,,,
"MITRE, BARTOLOME",,,,,,,,,,,,,
"MITRE, EMILIO",,,,,,,,,,,,,
MOCORETA,,,,,,,,,,,,,
MOCTEZUMA,,,,,,,,,,,,,
"MOHR, ALEJANDRO",,,,,,,,,,,,,
MOLDES,,,,,,,,,,,,,
MOLIERE,,,,,,,,,,,,,
MOLINA,,,,,,,,,,,,,
"MOLINA ARROTEA, CARLOS",,,,,,,,,,,,,
MOM,,,,,,,,,,,,,
MOMPOX,,,,,,,,,,,,,
MONACO,,,,,,,,,,,,,
MONASTERIO,,,,,,,,,,,,,
"MONNER SANS, RICARDO",,,,,,,,,,,,,
"MONTALVO, FERNANDO DE",,,,,,,,,,,,,
MONTAÑESES,,,,,,,,,,,,,
MONTE,,,,,,,,,,,,,
MONTEAGUDO,,,,,,,,,,,,,
MONTE DINERO,,,,,,,,,,,,,
MONTENEGRO,,,,,,,,,,,,,
"MONTES DE OCA, MANUEL AV.",,,,,,,,,,,,,
MONTESQUIEU,,,,,,,,,,,,,
"MONTES, VICTORIANO E.",,,,,,,,,,,,,
MONTEVIDEO,,,,,,,,,,,,,
MONTIEL,,,,,,,,,,,,,
MONTREAL,,,,,,,,,,,,,
"MONTT, PEDRO, PRES. AV.",,,,,,,,,,,,,
"MORA FERNANDEZ, JUAN",,,,,,,,,,,,,
"MORAN, PEDRO",,,,,,,,,,,,,
"MOREL, CARLOS",,,,,,,,,,,,,
"CRUZ, JUANA INES DE LA, SOR",,,,,,,,,,,,,
MORELOS,,,,,,,,,,,,,
MORENO,,,,,,,,,,,,,
"MORENO, ENRIQUE B.",,,,,,,,,,,,,
"MORENO, JOSE MARIA AV.",,,,,,,,,,,,,
MORETO,,,,,,,,,,,,,
"BIELSA, RAFAEL, DR.",,,,,,,,,,,,,
MORLOTE,,,,,,,,,,,,,
MORON,,,,,,,,,,,,,
"MORRIS, WILLIAM C.",,,,,,,,,,,,,
MORSE,,,,,,,,,,,,,
MOSCONI GENERAL AV.,,,,,,,,,,,,,
MOSCU,,,,,,,,,,,,,
"FILIBERTO, JUAN DE DIOS",,,,,,,,,,,,,
MOZART,,,,,,,,,,,,,
"MUJICA, JOSE PIO",,,,,,,,,,,,,
MUNICH,,,,,,,,,,,,,
MUÑECAS,,,,,,,,,,,,,
MUÑIZ,,,,,,,,,,,,,
MURATURE,,,,,,,,,,,,,
MURCIA,,,,,,,,,,,,,
MURGUIONDO,,,,,,,,,,,,,
MURILLO,,,,,,,,,,,,,
MUTUALISMO,,,,,,,,,,,,,
"MUZILLI, CAROLINA",,,,,,,,,,,,,
"MATTEOTI, GIACOMO",,,,,,,,,,,,,
PADRE MONTES CARBALLO,,,,,,,,,,,,,
"LUISONI, ARTURO, MAYOR",,,,,,,,,,,,,
"MARTINEZ ZUVIRIA, GUSTAVO,",,,,,,,,,,,,,
"CURATELLA MANES, PABLO",,,,,,,,,,,,,
MENDEZ,,,,,,,,,,,,,
FLOR DEL AIRE,,,,,,,,,,,,,
"MAGALDI, AGUSTIN",,,,,,,,,,,,,
"MUIÑO, ENRIQUE",,,,,,,,,,,,,
"MOM, POLICARPO",,,,,,,,,,,,,
"MAIZANI, AZUCENA",,,,,,,,,,,,,
NACIONES UNIDAS,,,,,,,,,,,,,
NAMUNCURA,,,,,,,,,,,,,
"HERRERA, LUIS A., DE",,,,,,,,,,,,,
"NAON, JUAN JOSE",,,,,,,,,,,,,
NAPOLES,,,,,,,,,,,,,
NATAL,,,,,,,,,,,,,
NAVARRO,,,,,,,,,,,,,
"NAVARRO VIOLA, MIGUEL",,,,,,,,,,,,,
NAZARRE,,,,,,,,,,,,,
NAZCA,,,,,,,,,,,,,
NAZCA AV.,,,,,,,,,,,,,
NECOCHEA,,,,,,,,,,,,,
NEPPER,,,,,,,,,,,,,
PADRE NEUMANN JUAN B.,,,,,,,,,,,,,
NEUQUEN,,,,,,,,,,,,,
NEVADA,,,,,,,,,,,,,
"NEWBERY, JORGE",,,,,,,,,,,,,
"NEWBERY, JORGE AV.",,,,,,,,,,,,,
PUENTE CONSEJAL PEDRO BUSTOS,,,,,,,,,,,,,
NEWTON,,,,,,,,,,,,,
NICARAGUA,,,,,,,,,,,,,
NIZA,,,,,,,,,,,,,
NOGOYA,,,,,,,,,,,,,
NORUEGA,,,,,,,,,,,,,
NUEVA YORK,,,,,,,,,,,,,
NUEVA ZELANDIA,,,,,,,,,,,,,
9 DE JULIO AV.,,,,,,,,,,,,,
NUMANCIA,,,,,,,,,,,,,
NUÑEZ,,,,,,,,,,,,,
"NUÑEZ, ROBERTO, OBRERO",,,,,,,,,,,,,
NAHUEL HUAPI,,,,,,,,,,,,,
ÑANDUTI,,,,,,,,,,,,,
OBARRIO MANUEL,,,,,,,,,,,,,
VUELTA DE OBLIGADO,,,,,,,,,,,,,
"OBLIGADO RAFAEL, AV.COSTANERA",,,,,,,,,,,,,
O'BRIEN,,,,,,,,,,,,,
ORTIZ DE OCAMPO,,,,,,,,,,,,,
ORTIZ DE OCAMPO AV.,,,,,,,,,,,,,
OCEANIA,,,,,,,,,,,,,
"OCHOA, ENRIQUE",,,,,,,,,,,,,
O'GORMAN,,,,,,,,,,,,,
O'HIGGINS,,,,,,,,,,,,,
OHM,,,,,,,,,,,,,
"OLAGUER Y FELIU, VIRREY",,,,,,,,,,,,,
OLAVARRIA,,,,,,,,,,,,,
"OLAVARRIETA, DIEGO DE",,,,,,,,,,,,,
OLAYA,,,,,,,,,,,,,
OLAZABAL,,,,,,,,,,,,,
OLAZABAL AV.,,,,,,,,,,,,,
OLIDEN,,,,,,,,,,,,,
OLIVERA AV.,,,,,,,,,,,,,
OLIVIERI,,,,,,,,,,,,,
OLIVOS,,,,,,,,,,,,,
"OLMOS, JUAN FRANCISCO",,,,,,,,,,,,,
"OLMOS, AMBROSIO",,,,,,,,,,,,,
OLLEROS,,,,,,,,,,,,,
